submission_id,age,alternatives,answer,category,comments,condition,correct_response,education,gender,itemName,languages,responseTime,trialNr,trial_type
3944,35,optionB,"yes, we do have.",taciturn,NA,question_any,NA,Higher degree,male,parking,ENGLISH,21560,3,main
3944,35,optionA|optionC,"yes, we have them in store.",taciturn,NA,question_optionA|yes,NA,Higher degree,male,videoGames,ENGLISH,16848,4,main
3944,35,optionA|optionC,"yes, there is Starbucks nearby.",option,NA,question_optionA|yes,NA,Higher degree,male,coffeeShop,ENGLISH,26887,6,main
3944,35,optionC,"yes, we can connect on Threads.",fullList,NA,question_any,NA,Higher degree,male,socialMedia,ENGLISH,16016,7,main
3945,29,optionA,"Yes, we have a garage at our hotel for cars.",taciturn,NA,question_optionA|yes,NA,Higher degree,female,parking,English,76253,1,main
3945,29,optionB,"I don't have a Facebook, I mostly use Instagram.",fullList,NA,question_optionA|no,NA,Higher degree,female,socialMedia,English,27256,3,main
3945,29,optionB,"Yes, there is a Taco Bell in the mall.",fullList,NA,question_optionA|no,NA,Higher degree,female,foodCourt,English,16688,4,main
3945,29,optionB,"Yes, there are a number of cars from Car2Go in front of the movie theater.",fullList,NA,question_any,NA,Higher degree,female,carshring,English,35021,5,main
3945,29,optionA,"Yes, we do accept American Express.",taciturn,NA,question_optionA|yes,NA,Higher degree,female,cardBlanche,English,13173,6,main
3946,28,optionC,"Yes, Cafe Nero is nearby",fullList,NA,question_any,NA,Graduated College,female,coffeeShop,English,33970,2,main
3946,28,optionA|optionC,"Yes, there is a garage for cars.",option,NA,question_optionA|yes,NA,Graduated College,female,parking,English,50453,3,main
3946,28,optionC|optionB,"Yes, I am on Threads and Instagram",fullList,NA,question_any,NA,Graduated College,female,socialMedia,English,32360,4,main
3946,28,optionC|optionB,"No, there is no taco bell at the mall",taciturn,NA,question_optionA|no,NA,Graduated College,female,foodCourt,English,19403,5,main
3946,28,optionA,"Yes, there are Zipcars in front of the cinema.",taciturn,NA,question_optionA|yes,NA,Graduated College,female,carshring,English,35779,6,main
3946,28,optionC,"No, we only have green juice",fullList,NA,question_optionA|no,NA,Graduated College,female,airplaneJuice,English,24052,7,main
3947,27,optionA|optionC,Yes we do,taciturn,NA,question_optionA|yes,NA,Graduated High-school,male,videoGames,English,16399,1,main
3947,27,optionB,No but there is a McCafe,fullList,NA,question_optionA|no,NA,Graduated High-school,male,coffeeShop,English,25228,2,main
3947,27,optionC,No but there is a shake shack,fullList,NA,question_optionA|no,NA,Graduated High-school,male,foodCourt,English,22184,4,main
3947,27,optionA|optionC,Yes we do,taciturn,NA,question_optionA|yes,NA,Graduated High-school,male,cardBlanche,English,67757,5,main
3947,27,optionC,Sure I use threads,fullList,NA,question_any,NA,Graduated High-school,male,socialMedia,English,16717,6,main
3947,27,optionC|optionB,Yes,taciturn,NA,question_any,NA,Graduated High-school,male,carshring,English,20887,7,main
3948,32,optionA,"Yes, there are Zipcars in front of the cinema.",taciturn,NA,question_optionA|yes,NA,Graduated High-school,female,carshring,English,37466,1,main
3948,32,optionC,"No, we do not have rental electric scooters, however we do offer electric bikes.",fullList,NA,question_optionA|no,NA,Graduated High-school,female,dricersLicense,English,41623,2,main
3948,32,optionB,"No, unfortunately Delta only offers orange juice.",fullList,NA,question_optionA|no,NA,Graduated High-school,female,airplaneJuice,English,40791,3,main
3948,32,optionA|optionC,"Yes, there is a Starbucks nearby.",option,NA,question_optionA|yes,NA,Graduated High-school,female,coffeeShop,English,29432,4,main
3948,32,optionC,"Yes, the food court has a Shake Shack.",fullList,NA,question_any,NA,Graduated High-school,female,foodCourt,English,30679,5,main
3948,32,optionB|optionC,"We have parking for bikes, as well as a landing platform for helicopters.",fullList,NA,question_any,NA,Graduated High-school,female,parking,English,46478,6,main
3955,41,optionA|optionB,Yes,taciturn,NA,question_optionA|yes,NA,Graduated High-school,female,airplaneJuice,English,37195,1,main
3955,41,optionA|optionC,Yes,taciturn,NA,question_optionA|yes,NA,Graduated High-school,female,carshring,English,61998,2,main
3955,41,optionB,No,taciturn,NA,question_optionA|no,NA,Graduated High-school,female,coffeeShop,English,40583,3,main
3955,41,optionB|optionC,No not for cars,taciturn,NA,question_any,NA,Graduated High-school,female,parking,English,49881,4,main
3955,41,optionB,Yes,taciturn,NA,question_any,NA,Graduated High-school,female,socialMedia,English,33159,7,main
3949,34,optionC|optionB,Sure! Do you have a Threads account?,option,NA,question_any,NA,Graduated College,female,socialMedia,English,45662,1,main
3949,34,optionA|optionB,Yup. There should be some parked right up front.,taciturn,NA,question_optionA|yes,NA,Graduated College,female,carshring,English,84309,2,main
